,Questions,Answers
27,"Yes & No - Yes if you are playing it WITH the 1.7version patch you get from Bethesda's website. This is to make it compatible with 4 core an more CPU/processors (game was built when 2 core's were common) an other things. Now for modding which I have done, I have no issues with Windows 7 nor should you with Windows 8 (I am aware of it's problems, why I stayed at W7 Pro). because there are mods & fixes for everything at NexusMods. Please remember to install game in folder other than Program Files because Windows UAC feature causes problems. For example C:Games/Fallout3. Also note that Windows Live no longer exists so you can not validate it nor do you have to. You essentially are buying this so not to get malware or viruses from pirated copies or you just do not want to wait forever to download it off steam. Took me 5 days to get it running good with over 50GB worth of mods. Great learning experience, awesome game, 10000X better than when I first played it.



    Yes & No - Yes if you are playing it WITH the 1.7version patch you get from Bethesda's website. This is to make it compatible with 4 core an more CPU/processors (game was built when 2 core's were common) an other things. Now for modding which I have done, I have no issues with Windows 7 nor should you with Windows 8 (I am aware of it's problems, why I stayed at W7 Pro). because there are mods & fixes for everything at NexusMods. Please remember to install game in folder other than Program Files because Windows UAC feature causes problems. For example C:Games/Fallout3. Also note that Windows...
      » 
Read More


   Yes & No - Yes if you are playing it WITH the 1.7version patch you get from Bethesda's website. This is to make it compatible with 4 core an more CPU/processors (game was built when 2 core's were common) an other things. Now for modding which I have done, I have no issues with Windows 7 nor should you with Windows 8 (I am aware of it's problems, why I stayed at W7 Pro). because there are mods & fixes for everything at NexusMods. Please remember to install game in folder other than Program Files because Windows UAC feature causes problems. For example C:Games/Fallout3. Also note that Windows Live no longer exists so you can not validate it nor do you have to. You essentially are buying this so not to get malware or viruses from pirated copies or you just do not want to wait forever to download it off steam. Took me 5 days to get it running good with over 50GB worth of mods. Great learning experience, awesome game, 10000X better than when I first played it.
      « 

Show Less","Yes & No - Yes if you are playing it WITH the 1.7version patch you get from Bethesda's website. This is to make it compatible with 4 core an more CPU/processors (game was built when 2 core's were common) an other things. Now for modding which I have done, I have no issues with Windows 7 nor should you with Windows 8 (I am aware of it's problems, why I stayed at W7 Pro). because there are mods & fixes for everything at NexusMods. Please remember to install game in folder other than Program Files because Windows UAC feature causes problems. For example C:Games/Fallout3. Also note that Windows Live no longer exists so you can not validate it nor do you have to. You essentially are buying this so not to get malware or viruses from pirated copies or you just do not want to wait forever to download it off steam. Took me 5 days to get it running good with over 50GB worth of mods. Great learning experience, awesome game, 10000X better than when I first played it.



    Yes & No - Yes if you are playing it WITH the 1.7version patch you get from Bethesda's website. This is to make it compatible with 4 core an more CPU/processors (game was built when 2 core's were common) an other things. Now for modding which I have done, I have no issues with Windows 7 nor should you with Windows 8 (I am aware of it's problems, why I stayed at W7 Pro). because there are mods & fixes for everything at NexusMods. Please remember to install game in folder other than Program Files because Windows UAC feature causes problems. For example C:Games/Fallout3. Also note that Windows...
      » 
Read More


   Yes & No - Yes if you are playing it WITH the 1.7version patch you get from Bethesda's website. This is to make it compatible with 4 core an more CPU/processors (game was built when 2 core's were common) an other things. Now for modding which I have done, I have no issues with Windows 7 nor should you with Windows 8 (I am aware of it's problems, why I stayed at W7 Pro). because there are mods & fixes for everything at NexusMods. Please remember to install game in folder other than Program Files because Windows UAC feature causes problems. For example C:Games/Fallout3. Also note that Windows Live no longer exists so you can not validate it nor do you have to. You essentially are buying this so not to get malware or viruses from pirated copies or you just do not want to wait forever to download it off steam. Took me 5 days to get it running good with over 50GB worth of mods. Great learning experience, awesome game, 10000X better than when I first played it.
      « 

Show Less"
28,"Yes, it came with a charger. :]","Yes, it came with a charger. :]"
29,Just online,Just online
30,"There are two possible cards from playstation. From what you describe the ones you mention are both referring to the same thing. You enter the codes and the funds appear in the Playstation online store that you access from the system, or through computer. There is another type if card that specifically refers to playstation Plus membership. I don't know what variations there are but they could be 1 month, 3 months, or one year. But those would specifically mention that they are for the membership. They could extend your prepaid membership if you got one, but won't add cash to the account.In this case the picture shows $10 as the cash value, so that should be the same. As long as it mentions Playstation.



    There are two possible cards from playstation. From what you describe the ones you mention are both referring to the same thing. You enter the codes and the funds appear in the Playstation online store that you access from the system, or through computer. There is another type if card that specifically refers to playstation Plus membership. I don't know what variations there are but they could be 1 month, 3 months, or one year. But those would specifically mention that they are for the membership. They could extend your prepaid membership if you got one, but won't add cash to the...
      » 
Read More


   There are two possible cards from playstation. From what you describe the ones you mention are both referring to the same thing. You enter the codes and the funds appear in the Playstation online store that you access from the system, or through computer. There is another type if card that specifically refers to playstation Plus membership. I don't know what variations there are but they could be 1 month, 3 months, or one year. But those would specifically mention that they are for the membership. They could extend your prepaid membership if you got one, but won't add cash to the account.In this case the picture shows $10 as the cash value, so that should be the same. As long as it mentions Playstation.
      « 

Show Less","There are two possible cards from playstation. From what you describe the ones you mention are both referring to the same thing. You enter the codes and the funds appear in the Playstation online store that you access from the system, or through computer. There is another type if card that specifically refers to playstation Plus membership. I don't know what variations there are but they could be 1 month, 3 months, or one year. But those would specifically mention that they are for the membership. They could extend your prepaid membership if you got one, but won't add cash to the account.In this case the picture shows $10 as the cash value, so that should be the same. As long as it mentions Playstation.



    There are two possible cards from playstation. From what you describe the ones you mention are both referring to the same thing. You enter the codes and the funds appear in the Playstation online store that you access from the system, or through computer. There is another type if card that specifically refers to playstation Plus membership. I don't know what variations there are but they could be 1 month, 3 months, or one year. But those would specifically mention that they are for the membership. They could extend your prepaid membership if you got one, but won't add cash to the...
      » 
Read More


   There are two possible cards from playstation. From what you describe the ones you mention are both referring to the same thing. You enter the codes and the funds appear in the Playstation online store that you access from the system, or through computer. There is another type if card that specifically refers to playstation Plus membership. I don't know what variations there are but they could be 1 month, 3 months, or one year. But those would specifically mention that they are for the membership. They could extend your prepaid membership if you got one, but won't add cash to the account.In this case the picture shows $10 as the cash value, so that should be the same. As long as it mentions Playstation.
      « 

Show Less"
31,It's going to be small for your hand if you are a 'palmer'. If you're a 'claw' or 'finger tip' gripper it might not be much of an issue.,It's going to be small for your hand if you are a 'palmer'. If you're a 'claw' or 'finger tip' gripper it might not be much of an issue.
32,"The game is no longer in production, thus the new and unopened versions are running more expensive...","The game is no longer in production, thus the new and unopened versions are running more expensive..."
33,"No it doesn't, and you can't buy just any card. You have to buy expensive cards from Sony.","No it doesn't, and you can't buy just any card. You have to buy expensive cards from Sony."
34,The one I bought didn't but it didn't show a headset on the cover either.,The one I bought didn't but it didn't show a headset on the cover either.
35,No. You just need Xbox Live to play against other racers and post your special achievements.,No. You just need Xbox Live to play against other racers and post your special achievements.
36,Yes,Yes
37,"Try this out. When you want to quit playing, choose to go to the home menu and you'll be asked if youwant to save. Choose save and when you want to play again, you'll start off where you left off. That simple.","Try this out. When you want to quit playing, choose to go to the home menu and you'll be asked if youwant to save. Choose save and when you want to play again, you'll start off where you left off. That simple."
38,"You don't have to, but you can hook up 2 each of the original controllers of all three systems. I recommend doing that if you can afford to buy them separately. I myself bought one of each. Be careful though, cause some of the after markets aren't the best. It's better to buy the originals but pricier...The wireless controllers that come with the system aren't bad, but the control configuration is weird. On some systems a is b and b is a. It will throw you off till you get used to it. Also you have to be directly in front of the system for them to work and pick up the sensor. Hope that helps Katie.



    You don't have to, but you can hook up 2 each of the original controllers of all three systems. I recommend doing that if you can afford to buy them separately. I myself bought one of each. Be careful though, cause some of the after markets aren't the best. It's better to buy the originals but pricier...The wireless controllers that come with the system aren't bad, but the control configuration is weird. On some systems a is b and b is a. It will throw you off till you get used to it. Also you have to be directly in front of the system for them to work and pick up the sensor. Hope that...
      » 
Read More


   You don't have to, but you can hook up 2 each of the original controllers of all three systems. I recommend doing that if you can afford to buy them separately. I myself bought one of each. Be careful though, cause some of the after markets aren't the best. It's better to buy the originals but pricier...The wireless controllers that come with the system aren't bad, but the control configuration is weird. On some systems a is b and b is a. It will throw you off till you get used to it. Also you have to be directly in front of the system for them to work and pick up the sensor. Hope that helps Katie.
      « 

Show Less","You don't have to, but you can hook up 2 each of the original controllers of all three systems. I recommend doing that if you can afford to buy them separately. I myself bought one of each. Be careful though, cause some of the after markets aren't the best. It's better to buy the originals but pricier...The wireless controllers that come with the system aren't bad, but the control configuration is weird. On some systems a is b and b is a. It will throw you off till you get used to it. Also you have to be directly in front of the system for them to work and pick up the sensor. Hope that helps Katie.



    You don't have to, but you can hook up 2 each of the original controllers of all three systems. I recommend doing that if you can afford to buy them separately. I myself bought one of each. Be careful though, cause some of the after markets aren't the best. It's better to buy the originals but pricier...The wireless controllers that come with the system aren't bad, but the control configuration is weird. On some systems a is b and b is a. It will throw you off till you get used to it. Also you have to be directly in front of the system for them to work and pick up the sensor. Hope that...
      » 
Read More


   You don't have to, but you can hook up 2 each of the original controllers of all three systems. I recommend doing that if you can afford to buy them separately. I myself bought one of each. Be careful though, cause some of the after markets aren't the best. It's better to buy the originals but pricier...The wireless controllers that come with the system aren't bad, but the control configuration is weird. On some systems a is b and b is a. It will throw you off till you get used to it. Also you have to be directly in front of the system for them to work and pick up the sensor. Hope that helps Katie.
      « 

Show Less"
39,Hooks into the controller.,Hooks into the controller.
40,you are correct. this cable doesn't have HDMI.,you are correct. this cable doesn't have HDMI.
41,The first picture is not the correct one.,The first picture is not the correct one.
42,"My friend has a Mac; had issue's with it and never got it to work. You don't get the game on the DVD to play offline; just the registration software; it downloads the game from ""STEAM"". You pay for the right to download a file that may or may not work. Personally due to the problem of corrupt file ext: emailed STEAM 5 time to resolve the problem STEAM deleted my account; and my friends problem with ""error unable to read"" along with problems from 3 other friends that bought this ""Not"" a Game DVD I don't recommend this game.","My friend has a Mac; had issue's with it and never got it to work. You don't get the game on the DVD to play offline; just the registration software; it downloads the game from ""STEAM"". You pay for the right to download a file that may or may not work. Personally due to the problem of corrupt file ext: emailed STEAM 5 time to resolve the problem STEAM deleted my account; and my friends problem with ""error unable to read"" along with problems from 3 other friends that bought this ""Not"" a Game DVD I don't recommend this game."
43,I boug it for the new super mario bros game classic I downloaded works good same. So yes it will work for your game :),I boug it for the new super mario bros game classic I downloaded works good same. So yes it will work for your game :)
44,Yes. It's great for all ages. They just have to make sure they're responsible enough to keep their sims alive.,Yes. It's great for all ages. They just have to make sure they're responsible enough to keep their sims alive.
45,This game is basically completely different than The Last of Us.  Beyond Two Souls was made by the same company who made Heavy Rain.  It's heavily story based and you follow a plot through cut scenes and situations where you can decide how to interact with the environment.  You do not fight monsters or enemies except in scripted fight scenes where you select the right buttons to use.  You don't have weapons either.  This isn't a shooter game its an interactive drama action-adventure video game also called a movie game.  Basically you play a movie.,This game is basically completely different than The Last of Us.  Beyond Two Souls was made by the same company who made Heavy Rain.  It's heavily story based and you follow a plot through cut scenes and situations where you can decide how to interact with the environment.  You do not fight monsters or enemies except in scripted fight scenes where you select the right buttons to use.  You don't have weapons either.  This isn't a shooter game its an interactive drama action-adventure video game also called a movie game.  Basically you play a movie.
46,"Yes, there are two discs.  Disc 1 is the installation disc.  Disc 2 is the ""play"" disc, meaning you have to have it in the X-Box while you are playing the game.","Yes, there are two discs.  Disc 1 is the installation disc.  Disc 2 is the ""play"" disc, meaning you have to have it in the X-Box while you are playing the game."
47,"It can be played on the 3DS, 3DS XL, and 2DS. It can not be played on any earlier systems, including any DS or DSi.","It can be played on the 3DS, 3DS XL, and 2DS. It can not be played on any earlier systems, including any DS or DSi."
48,Yes it is.,Yes it is.
49,"That's going to take me 25 minutes to type it out.   Backgammon, Battling Ships, Checkers, Chinese Checkers, Chess, Dominoes, Tile Games:  Edge tiles, Mahjong tiles, Slide Tiles, Gravity Tiles, Memory Tiles; Master Match, Pachisi, Panic: Classic, Lineout, Packer; Placer Racer, Reversi, Rummy Squares, Time Breaker, Word Games: Anagrams, Crosswords, Word Searches, Word Yacht, Wordox - Double Cross and Original; Yacht: Regular and Triple, and Zilch.","That's going to take me 25 minutes to type it out.   Backgammon, Battling Ships, Checkers, Chinese Checkers, Chess, Dominoes, Tile Games:  Edge tiles, Mahjong tiles, Slide Tiles, Gravity Tiles, Memory Tiles; Master Match, Pachisi, Panic: Classic, Lineout, Packer; Placer Racer, Reversi, Rummy Squares, Time Breaker, Word Games: Anagrams, Crosswords, Word Searches, Word Yacht, Wordox - Double Cross and Original; Yacht: Regular and Triple, and Zilch."
50,Then you should probably buy a new adapter.,Then you should probably buy a new adapter.
51,There is a peripheral USB port located on the top.,There is a peripheral USB port located on the top.
52,No. I brought it and it was too small,No. I brought it and it was too small
53,"Dear Michael,You can but it will be like a copy with extra, the director's cut is for those who hadn't played the game or don't even have it, becasue it only contains the game along with the dlc already installed, soundtrack and the videos. So if you like, you can download the DLC, watch the videos and listen to the soundtrack and by that, it will be like you have the director's cut.I hope this helps you.","Dear Michael,You can but it will be like a copy with extra, the director's cut is for those who hadn't played the game or don't even have it, becasue it only contains the game along with the dlc already installed, soundtrack and the videos. So if you like, you can download the DLC, watch the videos and listen to the soundtrack and by that, it will be like you have the director's cut.I hope this helps you."
54,"Yes. I have an Arcade console, it worked perfectly.","Yes. I have an Arcade console, it worked perfectly."
55,"No it doesn't. I just put everything on a USB drive, drivers, profile editor and profiles. A little more of an inconvenience but for me having a mouse fully adjusted and customized to my hand makes up for it.","No it doesn't. I just put everything on a USB drive, drivers, profile editor and profiles. A little more of an inconvenience but for me having a mouse fully adjusted and customized to my hand makes up for it."
56,Mine was in English.,Mine was in English.
57,"Exactly.  Some things, like hard drives of the same make, model and series that just have different sizes... those I can see lumping together.  But these Razer mice are NOT THE SAME PRODUCT at all.  A review of one is not valid for a review of another one.  Amazon failed big time combining these.","Exactly.  Some things, like hard drives of the same make, model and series that just have different sizes... those I can see lumping together.  But these Razer mice are NOT THE SAME PRODUCT at all.  A review of one is not valid for a review of another one.  Amazon failed big time combining these."
58,"It depends on how good your computer is. If you have a good graphics card and processer, then yes it will run on windows 7","It depends on how good your computer is. If you have a good graphics card and processer, then yes it will run on windows 7"
59,"It has 2 on the left side, 1 left mouse button, 1 right mouse button, and the scroll wheel can be clicked in.  There is also a dpi changer behind the scroll wheel, Idk if you can change that to whatever you want though.","It has 2 on the left side, 1 left mouse button, 1 right mouse button, and the scroll wheel can be clicked in.  There is also a dpi changer behind the scroll wheel, Idk if you can change that to whatever you want though."
60,3 months,3 months
61,Hardware wise they are the same. Looks and Audio presets are slightly different.,Hardware wise they are the same. Looks and Audio presets are slightly different.
62,Yes it does,Yes it does
63,"Good day, I have not personally used but I understand that if it works, I recommend the brand to see what map is on PS3","Good day, I have not personally used but I understand that if it works, I recommend the brand to see what map is on PS3"
64,Yes they can,Yes they can
