,Questions,Answers
27,Why wouldn't you just buy a powerstrip and plug each of your pedals into it?  Or a Visual Sound one plug that connects all the chained effects?,"This is very similar to just plugging all your pedals into a power strip. That assumes you have AC adapters for each pedal. Most pedals don't come with one and some are $20 or so. I actually have a bunch of AC adapters, but this is much more convenient. It's even nicer if you use one of these with a pedal board such as the Pedaltrain which has brackets to mount this power supply. As far as a daisy chain kind of thing like the Boss or Visual Sound that lets you connect multiple pedals, those are fine up to a point. I have the Boss daisy chain and I noticed that if I connect it to my wah wah pedal, I get a loud hum when I use the pedal. It just doesn't get enough power to the pedal. So I would use the daisy chain but then plug the wah wah pedal in using an AC adapter. The voodoo is just neater and more convenient. Each output is isolated so it's not just a daisy chain. Each pedal gets its own power individually. It can still be used with a daisy chain like the Visual Sound or Boss if you have more than 8 pedals. But again, if you have AC adapters for all your pedals and a power strip, that works too.



    This is very similar to just plugging all your pedals into a power strip. That assumes you have AC adapters for each pedal. Most pedals don't come with one and some are $20 or so. I actually have a bunch of AC adapters, but this is much more convenient. It's even nicer if you use one of these with a pedal board such as the Pedaltrain which has brackets to mount this power supply. As far as a daisy chain kind of thing like the Boss or Visual Sound that lets you connect multiple pedals, those are fine up to a point. I have the Boss daisy chain and I noticed that if I connect it to my wah wah...
      » 
Read More


   This is very similar to just plugging all your pedals into a power strip. That assumes you have AC adapters for each pedal. Most pedals don't come with one and some are $20 or so. I actually have a bunch of AC adapters, but this is much more convenient. It's even nicer if you use one of these with a pedal board such as the Pedaltrain which has brackets to mount this power supply. As far as a daisy chain kind of thing like the Boss or Visual Sound that lets you connect multiple pedals, those are fine up to a point. I have the Boss daisy chain and I noticed that if I connect it to my wah wah pedal, I get a loud hum when I use the pedal. It just doesn't get enough power to the pedal. So I would use the daisy chain but then plug the wah wah pedal in using an AC adapter. The voodoo is just neater and more convenient. Each output is isolated so it's not just a daisy chain. Each pedal gets its own power individually. It can still be used with a daisy chain like the Visual Sound or Boss if you have more than 8 pedals. But again, if you have AC adapters for all your pedals and a power strip, that works too.
      « 

Show Less"
28,"Are these truly passive pickups like in the description, or active pickups as the image appears to indicate?","passive, no batteries here"
29,Does it come with a manual on how to get to the effects I want? It seems that its very confusing.,"Yes it does come with a hefty manual in various languages (English in a pamphlet apart). At first it's a bit challenging to get the effects you'd like, but with enough practice you'll eventually get the hang of it. It's a nice pedal for the price and for just general fun, but if you're a more experienced guitarist you'll probably want to buy your pedals separately. Behringer has a nice selection of inexpensive pedals that compete well with the competition. By the way, the link Eamon Doyle provides is the exact manual that comes with the unit. Good luck!"
30,what is the difference between slinky and non slinky?,"Short answer: marketing. For the real story see the Ernie Ball website, but if you trust my memory... many, many moons ago there were few guitar string makers and they pretty much made the same thing- strings that helped a guitar be heard in a Big Band environment. The Ernie Ball company was one of the first to start marketing ""boutique strings"" that were easier for the player to fret and to bend. Compared to other strings at the time (anybody remember Black Diamonds?) the word ""slinky"" pretty much described how they felt."
31,Anyone knows the dimensions of the bench?,"13.5"" w X 22"" L X adjustable H b/t 18"" - 22"""
32,what is the difference between slinky and non slinky?,"Short answer: marketing. For the real story see the Ernie Ball website, but if you trust my memory... many, many moons ago there were few guitar string makers and they pretty much made the same thing- strings that helped a guitar be heard in a Big Band environment. The Ernie Ball company was one of the first to start marketing ""boutique strings"" that were easier for the player to fret and to bend. Compared to other strings at the time (anybody remember Black Diamonds?) the word ""slinky"" pretty much described how they felt."
33,"Can this plug directly into my DSLR, specifically a Canon T3i, or do I need to purchase an adapter? If so, which one? Thanks.","You probably could with an adapter, but you would not be happy with the sound. I've tried direct audio into the canon cameras and it has been terrible. I run it into a zoom h4n with great results."
34,What's included when you buy this mic? Cable? Shock mount? Or do you need to buy that somewhere else?,"When you get the microphone, it comes in a nice brown, wooden box that is lined with snug black foam (it's great for transporting). They will also give you a shock mount with extra elastic bands (to be used when the bands on the shock mount stretch out). There is also a foam filter covering for your microphone (I don't recommend using that as the wind screen, though. It's extremely thick. It's more there to protect your microphone from dust) and instructions included within a soft plastic bag. You will need to buy your own XLR Female (Pin) to Male (cord) or any XLR converter that you wish (XLR to USB, etc).   I will let you know as well that the shock mount is a bit flimsy and it is a tight squeeze for the mic (you'd have to pry open the shock mount to get the microphone back out). Personally, I'm trying to find a better shock mount but it is absolutely not necessary to get a different mount.  Overall, this microphone is a quality microphone (for its price) and you truly cannot go wrong with buying it!Good luck! :)



    When you get the microphone, it comes in a nice brown, wooden box that is lined with snug black foam (it's great for transporting). They will also give you a shock mount with extra elastic bands (to be used when the bands on the shock mount stretch out). There is also a foam filter covering for your microphone (I don't recommend using that as the wind screen, though. It's extremely thick. It's more there to protect your microphone from dust) and instructions included within a soft plastic bag. You will need to buy your own XLR Female (Pin) to Male (cord) or any XLR converter that you wish...
      » 
Read More


   When you get the microphone, it comes in a nice brown, wooden box that is lined with snug black foam (it's great for transporting). They will also give you a shock mount with extra elastic bands (to be used when the bands on the shock mount stretch out). There is also a foam filter covering for your microphone (I don't recommend using that as the wind screen, though. It's extremely thick. It's more there to protect your microphone from dust) and instructions included within a soft plastic bag. You will need to buy your own XLR Female (Pin) to Male (cord) or any XLR converter that you wish (XLR to USB, etc).   I will let you know as well that the shock mount is a bit flimsy and it is a tight squeeze for the mic (you'd have to pry open the shock mount to get the microphone back out). Personally, I'm trying to find a better shock mount but it is absolutely not necessary to get a different mount.  Overall, this microphone is a quality microphone (for its price) and you truly cannot go wrong with buying it!Good luck! :)
      « 

Show Less"
35,"I am considering this for a bass rig, but my Ampeg SVT-CL doesn't have an effects loop. Does this unit need to be in an effects loop to function?","The maxcom is best for vocals an controlling a mix which I use it for. You can use it for bass. Connect bass to MaxCom channel side line in 1 or 2 then to amp, if your running effects already make sure the maxcom is the last unit before amp. As a long time bassist if you have a compressor stick with that and go with the BBE 482 Sonic Maximizer to shape your sound that would be a better choice for bassist and guitarists.. Good Luck"
36,will this damage nitrocellulose-finish guitars?,"I have found that as long as you keep your stand in a normal temperature range setting, the rubber material will be okay.  However, if you place a guitar aboard and leave it for months without touching it, you may find that the rubber material will transfer to the guitar. But I have also had that occur with very good quality wall mounts. An expensive guitar? I would definitely keep cased until play."
37,"The main question I have is where do you keep it during live performance that is easy access? Seems slower than a spring, what solutions do u have pls","Hi Bill,  You just clamp it to the headstock like you would a spring type capo."
38,Can anyone tell me the exact width betewen the vertical sides of this shelf?,17 1/2 between the brackets and 19 including them
39,What is the lowest height it? Could it go as high as a piano?,The lowest setting is 27 inches to top of keyboard and the tallest setting is 38 inches to top of keyboard (not recommended) with a total of five different settings.  Has a perfect setting for the height of a standard piano.
40,Is it compatible with a Canon XF100?,Yes has standard xlr. I use on an xf100  and xf305. great for the price
41,"I'm a singing, gigging drummer and tired of headset mics. Would this be a good choice to place behind me and add a gooseneck and SM58 mic?",NO - weighs a ton I wouldn't want to take to gigs plus it is bulky and takes up a lot of floor space.  But I'm over 40 :)
42,are they make in china?,"Yes shure it is , bought a brand new j6 system and opened it up "" MADE IN CHINA"""
43,Is this strong enough to hold a Blue Snowball along with a pop filter?,I am not familiar with Blue snowball but this thing is pretty strong. I would guess it is strong enough & the price is great.
44,it shows 2 mics do you get 2 for that price?,"No, you get only 1.  I bit on that very thing.  The picture shows 2.  Thought that was what I was getting.  Certainly is misleading."
45,How many strings come in this package?,"There are six strings, for exact replacement of your current strings on your guitar."
46,Does it have open or closed tuners,The grover tuners have closed backs.
47,is it powerful enough for busking? (playing in the street around loud noise...),"No, good only in small regular bedroom."
48,Can I buy a replacement slide portion of tubing for my Regemental Bugle?  I have dented mine.,"the metal is  different thickness than a trumpet, you would have to be able to weld it."
49,What are the dimensions of the bag? My guitar is 42 x 17 x 5. Would it fit?,Yes it should. I have a full sized Fender CD-60 in mine and there is plenty of room to spare.
50,does anyone know if these can carry the Yamaha HS80's?,Yes. They should fit perfect on top on the platform. They may hang over a little but the stands themselves are sturdy enough to hold them without a problem. I think they are rated to hold up to 75lbs.
51,"would it fit my Epiphone SG Special,and how durable is it?","Hi, I bought the case for an American-made  early 1990s Gibson SG Standard classic which is a typically-sized SG. This guitar fits the case very well & the case is sturdy & well constructed.As you have an Epiphone  made in Korea I assume the specs would be the same or very similar but suggest you email the seller telling them exactly what you have & whether your model is compatible. The best of luck to you.  Tim"
52,will this case fit a 17 inch Benedetto style archtop?,"It perfectly fits a 1950s Gibson ES 150 and a 1950s Gibson L7C, both of which are 17-inch lower bout archtops with a 25.5 inch scale."
53,Does this stand's back fold up? Like the legs fold up and then the desk will fold up like folding a piece of paper or something?,"Yes. The long pole telescopes so to take the stand down you make the whole things shorter, then the legs just fold in. The desk is in quarters that fold , to answer your question, sort of like a piece of paper. There is a plastic tray (it's a separate part) that forms the lip on the desk: when you set the stand up and open the desk you slide the tray on to stabilize the folding pieces. Setup and takedown take just a moment. When it's collapsed the whole thing fits into a small rectangular carrying bag. It's quite clever, really. I like mine a lot."
54,I am a female just shy of 5'5 with small hands and a small frame.  I am worried this guitar will be too big for me.  Anyone smaller with experience?,"I bought this for my 15 year old who is 5'1 and it was just the right size for her - she also has a small frame, etc."
55,"Has anyone used this to accent walls? If so, could someone submit a customer photo and how well does it work?","Iʻve tried it, unfortunately I donʻt have a photo sorry.  But I can say it ""sort of"" works.  Depending on how tall the walls are, it doesnʻt throw as far up the wall as I hoped.  It just doesnʻt have enough throw.  I used it as an uplight against a white wall that was about 20ʻ high, and it got ""lost"" after about 10-12ʻ.  It does however work fine as an uplight on my speaker scrims, so if youʻre a DJ, looking for an affordable solution to lighting your scrims...this is good.  Also good for a light wash on a small area...maybe 10ʻ to 15ʻ feet.  If youʻre looking to uplight high walls... youʻd be better of spending the extra $50 bucks and buy the American DJ Mega Par Profile RGB LED, or the Chauvet version. I believe theyʻre both $99 or less.



    Iʻve tried it, unfortunately I donʻt have a photo sorry. But I can say it ""sort of"" works. Depending on how tall the walls are, it doesnʻt throw as far up the wall as I hoped. It just doesnʻt have enough throw. I used it as an uplight against a white wall that was about 20ʻ high, and it got ""lost"" after about 10-12ʻ. It does however work fine as an uplight on my speaker scrims, so if youʻre a DJ, looking for an affordable solution to lighting your scrims...this is good. Also good for a light wash on a small area...maybe 10ʻ to...
      » 
Read More


   Iʻve tried it, unfortunately I donʻt have a photo sorry.  But I can say it ""sort of"" works.  Depending on how tall the walls are, it doesnʻt throw as far up the wall as I hoped.  It just doesnʻt have enough throw.  I used it as an uplight against a white wall that was about 20ʻ high, and it got ""lost"" after about 10-12ʻ.  It does however work fine as an uplight on my speaker scrims, so if youʻre a DJ, looking for an affordable solution to lighting your scrims...this is good.  Also good for a light wash on a small area...maybe 10ʻ to 15ʻ feet.  If youʻre looking to uplight high walls... youʻd be better of spending the extra $50 bucks and buy the American DJ Mega Par Profile RGB LED, or the Chauvet version. I believe theyʻre both $99 or less.
      « 

Show Less"
56,Where can i get the support bars?,Mine came with three of them. I think extra ones are available to order right off the manufacturer's website though if you need more.
57,Does this have a compressor,Dont know what u mean by compressor?
58,Will the yamaha motif es 6 fit in this bag?,"Tho Im not sure, your yamaha motif es6 will probably fit.  The inside dimensions in inches are:  42L x 18w x 9 deep."
59,How should I connect if I'm trying to sing karaoke with a computer and this device? my speakers are computer speakers..I have 2 mic with 1/4 jack,"Hello there, You can use this device as a mixer. You can take the two karaoke mics and connect to the front mic jacks. You can connect the sound (headphones) out put of the computer to the RCA IN jacks at the back. But now you also need an Amplifier to which you will connect the Mixer RCA OUT in the back. You can connect any pair of speakers to the Amp. I hope this answers your query."
60,Is this the exact sheet music as it is played on the CD? Some reviewers say it is NOT.,The music and melody lines are the same and in the same key.  It does not provide the harmony lines.
61,"I would like to listen to music on my phone and listen the sound of my game on pc, through same pair of headphones. Is this possible?","You can, however it will only play through one side of the headphone because the device only plays mono."
62,Can I use the Behringer MA400 to receive stereo sound from my ipod/smart phone then output via the XLR output and into our church audio system XLR in?,"No, I don't think that what this designed for. You need a line matching transformer, which sometimes look like a tube with an xlr on one end and a mini on the other - not to be confused with just an adapter"
63,Can i use it for karaoke? I already have a xenyx 802 mixer without the effects processor.,Yes you can.... Have fun....
64,What size are these picks? Medium or Large?,"Well, I have fairly large fingers and they fit fine. But there is no need to worry as they can (and should) be bent to fit. Also note that like a lot of picks they should be fitted ""slanted"" so that  they meet the string at right angles. I thought that buying these would be the answer as I expected to ""feel"" the string with my fingertip. That does not really happen in practice. I recommend the National picks over these because there is less ""scraping"" noise on the string."
65,Size?,"It came as 3/8"" diameter X 1/2"" long shaft.  Standard size, will fit pick guard or rear routed guitars.  Will need some extra washers for pick guard mount, because they're so thin.  If not, will stick out a bit."
66,"Hi, I really interest in this case, and my guitar's size is 42x15x5, do you know if it fit this case?",Is that 42  length15 body5 fretboard?I'm more than happy to measure for you.
67,"Would this be good for my granddaughter who likes to sing, I thought she could record herself and play back. Is this what I need?","For singing, I wouldn't recommend this for someone who would just be starting. If she knows her way around sound equipment and software then I'd definitely recommend this or something of equal quality for the price. The microphone itself can only interface the computer through the mixer and then the USB hookup. This provides better quality than some other microphones when configured properly, but it's also more sensitive and will require a stand, and pop filter, which are not included in the set. I spent no more than $150 on this and the other equipment I bought for the purpose of live-streaming on the internet. Overall I'm highly satisfied with the use and quality i've gotten out of behringer products, but for your purposes I'm unsure of wether this is the best option.



    For singing, I wouldn't recommend this for someone who would just be starting. If she knows her way around sound equipment and software then I'd definitely recommend this or something of equal quality for the price. The microphone itself can only interface the computer through the mixer and then the USB hookup. This provides better quality than some other microphones when configured properly, but it's also more sensitive and will require a stand, and pop filter, which are not included in the set. I spent no more than $150 on this and the other equipment I bought for the purpose...
      » 
Read More


   For singing, I wouldn't recommend this for someone who would just be starting. If she knows her way around sound equipment and software then I'd definitely recommend this or something of equal quality for the price. The microphone itself can only interface the computer through the mixer and then the USB hookup. This provides better quality than some other microphones when configured properly, but it's also more sensitive and will require a stand, and pop filter, which are not included in the set. I spent no more than $150 on this and the other equipment I bought for the purpose of live-streaming on the internet. Overall I'm highly satisfied with the use and quality i've gotten out of behringer products, but for your purposes I'm unsure of wether this is the best option.
      « 

Show Less"
68,Does this come with a stand?,It does come with a small tripod stand but I would recommend a weighted stand as it's a but heavy and tips over easily
69,how many watts RMS ?,450 per channel (2 channels) or 900 as a mono amp.You will need Audio Cable XLR type connectors .
70,How long can I expect these to maintain quality of sound? I know I can get 5 years of solid use out of a Share SM58 (small concert venue).,"I.'ve given mine regular use on live gigs, even dropped it on the ground twice.  After 2.5 - 3 years of service, this microphone still sounds great.  These appear to be built very sturdy.  I give this mic a regular work out.  It's up to the task."
71,"What is the difference between these strings and the D'addario prelude strings which I currently have?? Please answer ASAP, thank you!!!","It depends on what works for your violin.  I had a new set of Dominant strings, but before I put them on my violin, I bought a Juan Qin violin that had D'addario strings on that work so well that I hesitate to use the Dominant strings on it.  If you are not getting the sound that you want, you might think about buying a different violin (I went through several violins before I found  in the Juan Qin violin the sound that I like). ."
72,Will this work with a Blue Yeti condenser microphone?,"Absolutely not. The Blue Yeti has a somewhat unique mounting system, which requires a specialized shock-mount 'ring'. This mount is designed to work with a large number of condenser style microphones with a screw-on back end. Blue makes the Radius shock-mount for this very purpose. I'm afraid that while the Yeti is a lovely microphone, you pay for the high-quality/low-cost in the form of incompatibility with most third party mounting options."
73,Do you think it will suit privia casio px 150? I really want to buy but i do not know if it will fit,I have a Casio px-310 which is similar in size to the px-150. The Case was large enough for me to store my keyboard and also had room on the sides to store my peddles and such. The case had a little more room around the sides than I expected but the straps keep my keyboard from shifting too much.
74,So how do i connect this to my computer??,"Depends what connection cable you have. XLR Female to USB male Lsgoodcare 3M USB Male to XLR Female Microphone Cable for Windows 98SE 2000 XP VISTA Win7 Mac OS X or 3.3mm mini GLS Audio 6ft Cable 1/8"" TRS Stereo to XLR Female - 6' Cables 3.5mm (Mini) to XLR-F Cord for iPhone, iPod, Computer, Video Camera and more - Single"
75,Does the stand come with a mic clip?,A mic clip is included with the Shure mic in it's box along with a carrying pouch. I actually ordered a clip separate because I didn't know this and it wasn't listed. Hope this helps.
76,Does anyone have any experience with this system and outdoor wedding/reception? If so how did it work?,"Mine worked only for a couple of hours.  I was so discouraged, I haven't tried it again, but will. The company didn't respond to my complaint. DON'T BUY THIS."
77,Does this come with the threaded part that screws into the mic?,"Dear Blake, no it does not. If the threaded part that holds your mic to your mount is gone, this mount will not help you."
78,Is this huge for all in one pc?,"In terms of the overall desktop footprint of the monitors? They're only maybe 5x7 dimensions and about 7"" deep or so, not that big, a bit of weight to them, few pounds, but I would say they're ideal for an all in one,laptop, etc., as long as you have some kind of small desk to put them on.I have a basic PC desk, not gigantic, but it has an upper shelf above themain desk, so I put them right up there at ear level or so, and that seemsto be ideal for me.  But I would say these monitors are ideal for any basic PCor small computer setup.  Plus they're USB so I would imagine you could evenplug 'em into an Ipad or whatever and they should be fine, as well.



    In terms of the overall desktop footprint of the monitors? They're only maybe 5x7 dimensions and about 7"" deep or so, not that big, a bit of weight to them, few pounds, but I would say they're ideal for an all in one,laptop, etc., as long as you have some kind of small desk to put them on.I have a basic PC desk, not gigantic, but it has an upper shelf above themain desk, so I put them right up there at ear level or so, and that seemsto be ideal for me. But I would say these monitors are ideal for any basic PCor small computer setup. Plus...
      » 
Read More


   In terms of the overall desktop footprint of the monitors? They're only maybe 5x7 dimensions and about 7"" deep or so, not that big, a bit of weight to them, few pounds, but I would say they're ideal for an all in one,laptop, etc., as long as you have some kind of small desk to put them on.I have a basic PC desk, not gigantic, but it has an upper shelf above themain desk, so I put them right up there at ear level or so, and that seemsto be ideal for me.  But I would say these monitors are ideal for any basic PCor small computer setup.  Plus they're USB so I would imagine you could evenplug 'em into an Ipad or whatever and they should be fine, as well.
      « 

Show Less"
79,how are they for hifi sound,"Actually it is more practical than using as portible sound because they are not the most well made product, however if you hook up a nice amp to them you can actually get a good clean sound out of them. I'd recommend them for the price."
80,how tall are they?,Hi James they are around 5 ft they have wheels I opted not to install them
81,Are these ball or tie ends?,"Very few classical guitar strings come with ball ends, and they say so when they do.  EJ-45 are the main string I use - tried and true, not expensive, highly recommended."
82,would this fit a 1959 Gibson archtop L-48?,I don't think so. It is tight for my Les Paul.
83,Will this tuner handle a 5-string bass? E.g.- B/E/A/D/G,It should not give you any trouble tuning a bass. I don't personally play bass but as long as it is first in your chain it should handle a bass just fine as Korg advertises it as a guitar/bass tuner. I hope that helps.
84,How do these compare to Bose noise cancelling headphones in terms of noise cancellation capability?,"They don't. These are not noise-cancelling headphones, they're just closed. Sound wise they're way better though."
85,"Does the DIGITECH RP500 include a ""Drum Machine"", i.e., several drum patterns that can be played anytime?",No it doesn't have a drum machine.
86,"Hello, I would like to buy this guitar for my boyfriend but he is an experienced guitarist. Can this guitar suit him anyway?",I bought this for my husband who had never played guitar before.  I was really impressed with the quality for the price if this guitar!  It is also a beautiful color.  I think it would work for beginner and experienced both!
87,would this hold 3 heavy basses? I dont want to spend 100 dollars but I need to hold all of my basses in a small room. Also how long is the shipping box? I cant receive any packages over 36 inches.,"I wouldn't think there would be a problem, especially since each instrument sits over a leg. And I have no idea how big the shipping box was, but folded up, it is 34"" long."
88,"Does this guitar come with the power cable, or do I need to get one before it arrives?",By power cable do you mean a cord to plug the guitar into an amp? If yes then it does but it is only 2 to 3 ft
89,Would you please measure the bag?  The Yamaha 235 is 43+ inches long.,"About 50"" - My YPG-235 fits it in just fine"
90,What kind of Microphone work  with this Product? I have the  Behringer C-1 Microphone which is not working. I just got it two days ago. Please help.,The Behringer C-1 is a condensor microphone. It requires what is called phantom power. This is where the device it is plugged into provides 48 volts DC to power the microphone. The mixer does not provide phantom power. You can use an external power supply for the mic which would plug inline between the mic and the mixer.
