,Questions,Answers
60,How much caffeine is in one Ferrero Pocket Coffee chocolate?,It takes three pieces to equal one shot of espresso.
61,How much stock does it actually make?  For example--some bases you use 1 tsp. for 1 cup of water....,"The base can make a variable amount of stock, depending upon how concentrated you need it.  The package says it can be used as dilute as one part base to 40 (yes 40) parts water or as strong as full strength.  At the diluted strength it can make up to 5 gallons of stock.  It is very reasonable, and tasty diluted.  I haven't tried it full strength."
62,Does this product contain any caffeine...added or naturally occurring? Just wondering if I should avoid taking this in the evening.,"Go to the company's website FAQs and ""What are the differences between Green SuperFoods?"" The link then takes one to a comparison chart. All of the different ""flavors"" have different ingredients. Some contain a lot of caffeine and some very little. Some contain sweeteners and some do not. http://amazinggrass.com/product_info/5428/Compare-Green-SuperFoods.html"
63,Did anyone buy it recently? Does it still contain Titanium Dioxide?,"Yes, Part of the outer shell"
64,most oils need no refridgeration after opening.  does red palm oil need refridgeration?,"Hi, Cat! No, the palm oil doesn't need refrigeration after opening. It can be kept at room temperature. In fact, it is easier to take it out of the jar this way. Make sure you eat it RAW, not cooked. High temperature destroys all the active ingredients, i.e. the many antioxidants it contains. I know customers reported cooking with it which is not advisable because of the reason I just gave. The taste is quite strange, to say the least. However, I found that, mixed in equal parts with spicy mustard, it can be eaten spread on toast, or on potatoes or pasta. I hope this helped! Lucretia"
65,I heard that Bob's Red Mill xanthum gum was gluten free and corn free. Is it corn free?,This is what I found:  No corn.http://blog.bobsredmill.com/gluten-free/guar-gum-vs-xanthan-gum/
66,what is the source material?  My sister-in-law can only have xylitol derived from birch.,"Usually, if it doesn't say birch it isn't. It's made from corn and probably comes from China. Birch is more expensive but worth it to me."
67,What are the ingredients?,I believe that it is 100% juice. I have heard that the actual authentic key lime became extinct a few decades ago. But whatever this is tastes wonderful. I used it for my version of key lime pie with sweetened condensed milk.
68,How long does will it stay tasting fresh if I don't open the package?,Not sure  but should  be by Best before  date.
69,Are these the regular size or smaller size.Like the ones they give away for Halloween?,They are regular size
70,What are the ingredients?,pasteurize dried egg whites ... nice and simple.
71,Does this have USDA Organic Seal of Approval??  There is no description of such and no picture.,Yes It Does
72,What are all the ingredients in these tortillas?,"The package says ""made with canola oil"" and low in saturated fat. I gather they don't have the additives that prolong shelf life; a good thing. I found them to taste just like home made unlike other store bought tortillas. I highly recommend the product."
73,"where does this product originate, come from?",China
74,"If I use this to color royal icing, will my icing still dry hard?","It's no different then any other food coloring, except the color is SO much better...Your icing will be just fine :)  I only use Americolor since I discovered it."
75,when is the expiration date?,They expire Nov 2015
76,"Hi. I bought the Italian Garden by itself and really liked it. Is there much of a difference between the 3 varieties (Italian, French, and Napa)?","Yes... and the Napa honestly is my favorite.  The Napa is tomatoe and basil favored.  It's really good- well on anyting.  As for the the French, it's tarragon and dill base.  It's good on chicken and fish.  The Italian is okay in comparison to the other two.  So, I highly recommand the three pack.  Favor your food with the French and Napa while saving the Italian for the salad dressings."
77,Is your oat flour gleutin free?,Yes
78,What is a good way to store this so I can make sure it doesn't go bad or get infested with food moths?,"I store mine in the freezer in airtight containers. Works OK, and it should prevent all nasty critters. Mine hasn't gotten soggy or anything after a few months of this.BTW, I recommend NOT buying this much masa unless you're sure that your needs are awfully high. I'm regretting buying so much. 50 pounds is way more than I expected."
79,Is that $5.74 per pack of Mrs. Wages Pasta Sauce Tomato Mix?,yes it is
80,can i use illy pod in nespresso machine,"No: Nespresso uses its own proprietary pods, while Illy iperespresso capsules can only be used in coffee machines made for iperespresso: most of these are branded Illy, although Gaggia also makes a good and relatively cheap one.  By the way, I'm familiar with both systems: in  my opinion nespresso coffee is very different from a real Italian Espresso, has an excess of foam (not the ""crema"" typical of espresso) which tastes somewhat sweet and sticky.  Iperespresso, on the other hand, is very close to a traditional espresso, maybe slightly less hot and with a tad more bitter aftertaste but still quite like the real thing.  This, of course, is just my opinion and may differ from yours, but be sure to taste both before you buy: they are really very different products.



    No: Nespresso uses its own proprietary pods, while Illy iperespresso capsules can only be used in coffee machines made for iperespresso: most of these are branded Illy, although Gaggia also makes a good and relatively cheap one. By the way, I'm familiar with both systems: in my opinion nespresso coffee is very different from a real Italian Espresso, has an excess of foam (not the ""crema"" typical of espresso) which tastes somewhat sweet and sticky. Iperespresso, on the other hand, is very close to a traditional espresso, maybe slightly less hot and with a tad more bitter aftertaste...
      » 
Read More


   No: Nespresso uses its own proprietary pods, while Illy iperespresso capsules can only be used in coffee machines made for iperespresso: most of these are branded Illy, although Gaggia also makes a good and relatively cheap one.  By the way, I'm familiar with both systems: in  my opinion nespresso coffee is very different from a real Italian Espresso, has an excess of foam (not the ""crema"" typical of espresso) which tastes somewhat sweet and sticky.  Iperespresso, on the other hand, is very close to a traditional espresso, maybe slightly less hot and with a tad more bitter aftertaste but still quite like the real thing.  This, of course, is just my opinion and may differ from yours, but be sure to taste both before you buy: they are really very different products.
      « 

Show Less"
81,How much sugar in a bar?,The answer is 9 grams!
82,what is the caffiene content?,No caffeine content  is listed on canister; I assume it must be an insignificant amount.
83,"Expiration date is August 2013, Can it still be used for freezer jam",I don't know...I do not use this product for jam...i mix it with juice for my arthritis...works great for that purpose.
84,"is this free of gmo's ? I seems I read ""free of gmo's according to law"". There isn't any law in the U.S that says something can't have gmo.","Yes it I, no gmo is listed under the ingredients."
85,"Are the bags for this tea filled with ""processing dust""  or choice leaves?  I tried calling and writing several times for an answer. There is no custo",They are not filled with processing dust - it appears to be leaves to me.
86,what other equipment do I need to buy for this kit?,"depending on where you live, I would look at a wine starter kit on Midwest supply.com or Amazon. This gives you all the things you need to make wine.  Hoe much wine are you planning  on making. If you are only going to make a few kits here and there, these beginner kits will be good enough. If you plan on making kits on a regular basis, I would upgrade the kit to include a floor corker. I also prefer the glass carboys to plastic, but they are also much heavier especially when full of wine. I really found everything I needed and the best prices at Midwest supply.com. They allow you to upgrade items in the kits and often give you a better deal than buying individually. I think I spent about $350. That will get you started. I make fruit wine from fresh fruit and have made about 30 of the vino italiano kits. I bought more carboys and fermentation buckets so I could do multiple wines at a time. Hope this helps



    depending on where you live, I would look at a wine starter kit on Midwest supply.com or Amazon. This gives you all the things you need to make wine. Hoe much wine are you planning on making. If you are only going to make a few kits here and there, these beginner kits will be good enough. If you plan on making kits on a regular basis, I would upgrade the kit to include a floor corker. I also prefer the glass carboys to plastic, but they are also much heavier especially when full of wine. I really found everything I needed and the best prices at Midwest supply.com. They allow you to upgrade...
      » 
Read More


   depending on where you live, I would look at a wine starter kit on Midwest supply.com or Amazon. This gives you all the things you need to make wine.  Hoe much wine are you planning  on making. If you are only going to make a few kits here and there, these beginner kits will be good enough. If you plan on making kits on a regular basis, I would upgrade the kit to include a floor corker. I also prefer the glass carboys to plastic, but they are also much heavier especially when full of wine. I really found everything I needed and the best prices at Midwest supply.com. They allow you to upgrade items in the kits and often give you a better deal than buying individually. I think I spent about $350. That will get you started. I make fruit wine from fresh fruit and have made about 30 of the vino italiano kits. I bought more carboys and fermentation buckets so I could do multiple wines at a time. Hope this helps
      « 

Show Less"
87,I ordered the 4 pack in July and it was about $25.  Now it's nearly $50????  Really?,Me too...Now $55.00.  Check out Bob's...It's not organic but very comparable with taste.
88,Can you use the initial batch of kefir to make a new batch using raw milk? and what would be the proportions?,"Yes.  I've done it for months.  With a fork scrape off some curds off the top, about a 1/2 cup or more. (It takes a couple of days to get it going well.) Put them in the bottom of a clean quart jar and add freshly milked, warm milk over it.  Keep at room temperature for 24 hrs.  It has really improved our health."
89,How much caffeine compared to a regular coffee?,"I think they say there's no reduction in caffeine compared with regular instant coffees, just a reduction in acid. I notice no difference in caffeine myself...""feels"" the same as regular, just no stomach issues."
90,"Is it me or has PG Tips changed in flavor?  It's not the same as it used to be, different blend now? Not as good.","It's not your imagination.  Been drinking PG Tips for decades (I used to carry it back from Europe in pre-internet ordering days). It is definitely not what it used to be.  I've tried several boxes on the assumption I must have gotten a bad batch, but three bad boxes in a row, several months apart, and have sadly come to the conclusion that they changed the blend.   Sadness!  I'm abandoning the brand."
91,does this item have alcohol in it?,"Almost all extracts contain alcohol. They do not put it in for their benefit, as it obviously costs more than water! The reason that almost all extracts use alcohol is that some flavors simply don't dissolve in water, so if you soak vanilla beans in just water, you are not getting some of the many flavor compounds out of the beans. Same with cooking, alcohol dissolves some flavors that water alone will not, so many recipes call for a little alcohol to 'carry' the flavors."
92,"says 16 count, pack of 3, so 16x3 = 48, then brings 48 capsules??",In the cappuccino there are 8 milk capsules and 8 espresso capsules per box. So in a pack of three boxes there are a total of 48 capsules but that comes out to 24 cappuccino's.
93,"Are the cans BPA free, thanks.",this is from Mother Jones: Valley Fresh White Chicken in Water Organic 0.19 Less than Limithttp://www.motherjones.com/environment/2010/08/bpa-in-canned-foods
94,When it says the quantity is16 count-pack of three. So how many pods total(48?) are in the shipment?,"Yes, there are 3 boxes with 16 pods each.  Most of the ""regular"" Baronet flavors come 18 to a box, so this is more expensive per serving. I think it's worth it."
95,Is it really unsweetened?  No other fruit juice sweeteners?,"Yep. Nothing but cranberry in there. I mix one bottle of this with 4C water & 1.5C sugar, but I like it strong. Lakewood does make a cranberry cocktail (or some such) that's sweetened with juice from other fruits, but this one's straight-up cranberry."
96,Is the honey in a glass or plastic jar?,It is in a plastic jar.
97,Does this product come in a glass or in a plastic container?,Plastic container
98,"If baking them on top of a breakfast casserole @ 350 degrees, how long do they need to bake to just set the whites?","Ive never made that recipe. I boil them for 5 minutes for hard boiled eggs. If you want the centers set but not hard, perhaps 3 minutes?I imagine you can watch them closely in the oven and decide on the spot."
99,are these non gmo?,"I would contact the ""Sincerely Nuts"" to find out for sure. However, they are marked Kosher and the National Kosher Certification Program has banned since 04/2013 any GMO foods from receiving the K Kosher label to be phased out and completed by 2014.......Hope this bit of info helps. P.S. These are the best dates I have EVER tasted!!!"
100,"Why are you misleadingly highlighting the ""DISTRIBUTED by.."" a Hawaiian company?   Is this a product of Hawaii or Japan?  It says ""Kyoto"" on the top of the package, and has no ""Product Of..""  anywhere on the labelIS THIS seaweed from/grown in Japan, or is it from Hawaii?The highlighting of irrelvant, misleading info seems rather slimy, people..



    Why are you misleadingly highlighting the ""DISTRIBUTED by.."" a Hawaiian company?   Is this a product of Hawaii or Japan?  It says ""Kyoto"" on the top of the package, and has no...
      » 
Read More


   Why are you misleadingly highlighting the ""DISTRIBUTED by.."" a Hawaiian company?   Is this a product of Hawaii or Japan?  It says ""Kyoto"" on the top of the package, and has no ""Product Of..""  anywhere on the labelIS THIS seaweed from/grown in Japan, or is it from Hawaii?The highlighting of irrelvant, misleading info seems rather slimy, people..
      « 

Show Less","well i was also confused as well, until i examined the package more closely and yes it does say kyoto, but on the bottom it says trading hawaii from torrence ca so i'm not really sure"
101,is it made in usa,"Yes, it appears it is made under ""Xylitol USA Inc."" in Aurora, Colorado, and if you do a search on the web for Emerald Forest Xylitol it says that it is one of the few manufacturers in North America."
102,Could I use it for SUEDE LEATHER ? Or What is Bick's product for SUEDE LEATHER ? Thank you.,"Christine, I use it on suede as well.  For example, I soaked a pair of suede shoes in the rain.  Used Bicks 5 on them and brought them back to life [like new].  The shoes were darkened a bit at first, but later returned to their original color.  I love this stuff.  Threw my Lexol leather treatment away when I found this."
103,Contain soy?,Yes.
104,About how many per package?,It's difficult for me to remember but I'll hazard a guess of 10 - 15 per bag . They were individually wrapped which worked out well for us. I recall ordering a box full of them and thus we had more than we needed. Hope that this helpful. The product was well made as far as I could tell.
